,Title,Author,Editor,AutGen,EdGen,AutM,AutF,EdM,EdF,Type,Importance,Year,Publisher,Convener,Rank,Cluster,Level,Weighted,Senior,Female,single.female,single.male,Single,Top,Top.Press,two,three,female.comale,female.cofemale,Self,male.comale,male.cofemale,Male,book,article
11,Human rights and international relations,"Vincent, R. J.",,M,,1,0,0,0,Book,Background,1986,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
12,International relations in political thought: texts from the Ancient Greeks to the First World War,"Kant, Immanuel","Brown, Chris; Nardin, Terry; Rengger, N. J.",M,MMM,1,0,3,0,Book,Background,2002,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
13,Foreign Affairs,"Shehata, Dina ",,F,,0,1,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
14,The retreat of the state: the diffusion of power in the world economy,"Strange, Susan",,F,,0,1,0,0,Book,Background,1996,Cambridge University Press,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
15,Women and states: norms and hierarchies in international society,"Towns, Ann E.",,F,,0,1,0,0,Book,Background,2010,Cambridge University Press,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
16,World politics since 1945,"Calvocoressi, Peter",,M,,1,0,0,0,Book,Essential,2009,Longman,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
17,Diplomatic theory of international relations,"Sharp, Paul",,M,,1,0,0,0,Book,Background,2009,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
18,World Politics,"Walt, Stephen M.",,M,,1,0,0,0,Article,Background,2009,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
19,Review of International Studies,"Watson, Adam",,M,,1,0,0,0,Article,Essential,1990,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
20,Survival,"Jones, Bruce D.",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
21,"The New Interventionism, 1991-1994: United Nations Experience in Cambodia, Former Yugoslavia and Somalia","Mayall, James",,M,,1,0,0,0,Book,Background,1996,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
23,American Political Science Review,"Nexon, Daniel H.; Wright, Thomas",,MM,,2,0,0,0,Article,Background,2007,,M,Professor,Theory,Undergrad,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
24,European Journal of International Relations,"Towns, A.",,F,,0,1,0,0,Article,Essential,2009,,M,Professor,Theory,Undergrad,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,0,0,0,1
25,Philosophy & Public Affairs,"Doyle, Michael W.",,M,,1,0,0,0,Article,Background,1983,Wiley,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
26,International Affairs,"Etzioni, Amitai",,M,,1,0,0,0,Article,Background,2004,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
27,The transformation of peace,"Richmond, Oliver P.",,M,,1,0,0,0,Book,Background,2005,Palgrave Macmillan,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
28,Signs: Journal of Women in Culture and Society,"Cohn, Carol",,F,,0,1,0,0,Article,Background,1987,University of Chicago Press,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
29,The Eighty Years' Crisis: International Relations 1919-1999,"Wison, Peter","Booth, Ken; Cox, Michael",M,MM,1,0,2,0,Book,Essential,1999,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
30,Governance without government: order and change in world politics,"Rosenau, James N.; Czempiel, Ernst Otto",,MM,,2,0,0,0,Book,Background,1992,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
31,International theory: the three traditions,"Wight, Martin; Wight, Gabriele; Porter, Brian",,M,FM,1,0,1,1,Book,Background,1991,Leicester University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
32,Foreign Affairs,"Gat, Azar",,M,,1,0,0,0,Article,Background,2007,Council on Foreign Relations NY,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
33,Globalization: a critical introduction,"Scholte, Jan Aart",,M,,1,0,0,0,Book,Essential,2005,Palgrave Macmillan,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
35,The evolution of international security studies,"Buzan, Barry; Hansen, Lene",,MF,,1,1,0,0,Book,Background,2009,Cambridge University Press,M,Professor,Theory,Undergrad,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
36,International Organization,"Wendt, Alexander ",,M,,1,0,0,0,Article,NA,1992,The MIT Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,1,0,0,0,0,FALSE,0,0,1,0,1
37,Philosophy & Public Affairs,"Doyle, Michael W.",,M,,1,0,0,0,Article,Background,1983,Wiley,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
38,Foreign Affairs,"Anderson, Lisa",,F,,0,1,0,0,Article,Background,2011,Council on Foreign Relations NY,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
39,The wretched of the earth,"Fanon, Frantz",,M,,1,0,0,0,Book,Background,1991,Grove Weidenfeld,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
40,European Journal of International Relations,"Clark, Ian",,M,,1,0,0,0,Article,Background,2009,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
41,Survival,"Lynch, Marc",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
42,Review of International Studies,"Zhang, Yongjin",,M,,1,0,0,0,Article,Background,1991,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
43,Sovereignty,"Hinsley, F. H.",,M,,1,0,0,0,Book,Background,1986,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
44,Janus and Minerva: essays in the theory and practice of international politics,"Stanley, Hoffmann",,M,,1,0,0,0,Book,Background,1987,Westview Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
45,International Security,"Johnston, Alastair I. ",,M,,1,0,0,0,Article,Background,2003,The MIT Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
46,European Journal of International Relations,"Wohlforth, William C.",,M,,1,0,0,0,Article,Essential,2007,Sage Publications Ltd.,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
47,The political economy of international relations,"Gilpin, Robert; Gilpin, Jean M.",,MF,,1,1,0,0,Book,Background,1987,Princeton University Press,M,Professor,Theory,Undergrad,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
48,Imperial life in the Emerald City: inside Baghdad's green zone,"Chandrasekaran, Rajiv",,M,,1,0,0,0,Book,Background,2008,Bloomsbury,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
49,Foreign Affairs,"Doyle, Michael W.",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
50,Professional ethics and civic morals,"Durkheim, Emile",,M,,1,0,0,0,Book,Background,1991,Routledge,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
51,"International relations and non-Western thought: imperialism, colonialism and investigations of global modernity","Shilliam, Robbie",,M,,1,0,0,0,Book,Background,2011,Routledge,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
52,Foreign Affairs,"Ross, Michael L.",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
53,International Security,"Schroeder, Paul",,M,,1,0,0,0,Article,NA,1994,The MIT Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
54,Journal of International Relations and Development,"Jordheim, Helge; Neumann, Iver B.",,MM,,2,0,0,0,Article,Essential,2011,,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
55,International Organization,"Buzan, Barry",,M,,1,0,0,0,Article,Background,1993,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
56,Foreign military intervention: the dynamics of protracted conflict,"Jentleson, Bruce W.; Levite, Ariel","Levite, Ariel",MM,M,2,0,1,0,Book,Background,1992,Columbia University Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
57,Globalization: a critical introduction,"Scholte, Jan Aart",,M,,1,0,0,0,Book,Background,2005,Palgrave Macmillan,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
58,International Politics,"Dodge, Toby",,M,,1,0,0,0,Article,Background,2009,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
59,Men and Masculinities,"Hutchings, Kimberly",,F,,0,1,0,0,Article,Essential,2007,,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
60,The concept of the political,"Schmitt, Carl",,M,,1,0,0,0,Book,Background,2007,University of Chicago Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
61,Essence of decision: explaining the Cuban Missile Crisis,"Allison, Graham T.; Zelikow, Philip",,MM,,2,0,0,0,Book,Background,1999,Longman,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
63,"Alternatives: Global, Local, Political","Onuf, Nicholas Greenwood",,M,,1,0,0,0,Article,Background,1991,Lynne Rienner Publishers,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
64,Survival,"van Genugten, Saskia",,F,,0,1,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
65,Social theory of international politics,"Wendt, Alexander",,M,,1,0,0,0,Book,Background,1999,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
66,Foreign policy and democratic politics: the American and British experience,"Waltz, Kenneth N.",,M,,1,0,0,0,Book,Background,1967,"Little, Brown",M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
67,The Anglosphere: a genealogy of a racialized identity in international relations,"Vucetic, Srdjan",,M,,1,0,0,0,Book,Background,2011,Stanford University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
68,International organization: a reader,"Kratochwil, Friedrich V.; Mansfield, Edward D.",,MM,,2,0,0,0,Book,Essential,1994,HarperCollins,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
70,Millennium - Journal of International Studies,"Wheeler, Nicholas J.",,M,,1,0,0,0,Article,Essential,1992,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
71,Global governance and the new wars: the merging of development and security,"Duffield, Mark R.",,M,,1,0,0,0,Book,Background,2001,Zed Books,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
72,International Organization,"Gourevitch, Peter",,M,,1,0,0,0,Article,Background,1978,University of Wisconsin Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
73,International Organization,"Fischer, Markus",,M,,1,0,0,0,Article,Background,1992,The MIT Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,1,0,0,0,0,FALSE,0,0,1,0,1
74,"Mothers, monsters, whores: women's violence in global politics","Sjoberg, Laura; Gentry, Caron E.",,FF,,0,2,0,0,Book,Background,2007,Zed Books,M,Professor,Theory,Undergrad,1,1,1,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0
75,Review of International Studies,"Neumann, Iver B.",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
76,"Polities: authority, identities, and change","Ferguson, Yale H.; Mansbach, Richard W.",,MM,,2,0,0,0,Book,Essential,1996,University of South Carolina Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
77,International Studies Review,"Ferguson, Yale H.; Mansbach, Richard W.",,MM,,2,0,0,0,Article,Background,1999,Wiley,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
78,International relations and the problem of difference,"Inayatullah, Naeem; Blaney, David L.",,MM,,2,0,0,0,Book,Background,2004,Routledge,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
79,International Organization,"Spruyt, Hendrik",,M,,1,0,0,0,Article,Background,1994,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
80,International human rights,"Donnelly, Jack",,M,,1,0,0,0,Book,Background,1993,Westview Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
81,International Affairs,"Hinnebusch, Ramond",,M,,1,0,0,0,Article,Background,2012,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
82,On security,"Waever, Ole","Lipschutz, Ronnie D.",M,M,1,0,1,0,Book,Essential,1995,Columbia University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
83,International Security,"Elman, Colin; Fendius Elman, Miriam; Schroeder, Paul W. ",,MFM,,2,1,0,0,Article,Essential,1995,The MIT Press,M,Professor,Theory,Undergrad,0.333,1,1,0,0,0,0,1,0,1,1,0,FALSE,0,1,0,0,1
84,Human rights in global politics,"Dunne, Timothy; Wheeler, Nicholas J.",,MM,,2,0,0,0,Book,Background,1999,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
85,Women and war,"Elshtain, Jean Bethke",,F,,0,1,0,0,Book,Background,1987,Harvester Press,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0
86,Globalization and International Relations Theory,"Clark, Ian",,M,,1,0,0,0,Book,Background,1999,Oxford University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
87,"Simulating sovereignty: intervention, the state and symbolic exchange","Weber, Cynthia",,F,,0,1,0,0,Book,Background,1995,Cambridge University Press,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
88,Enlightenment against empire,"Muthu, Sankar",,M,,1,0,0,0,Book,Background,2003,Princeton University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
89,World Politics,"Rose, Gideon",,M,,1,0,0,0,Article,Essential,1998,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,1,0,0,0,0,FALSE,0,0,1,0,1
90,Foreign Affairs,"Goldstone, Jack A.",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
91,"Governing the global polity: practice, mentality, rationality","Neumann, Iver B.; Sending, Ole Jacob",,MM,,2,0,0,0,Book,Background,2010,University of Michigan Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
92,Survival,"Rhodes, Edward",,M,,1,0,0,0,Article,Background,2003,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
93,International Relations,"Schmidt, B. C.",,M,,1,0,0,0,Article,Background,2002,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
94,Survival,"Karawan, Ibrahim A.",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
95,Millennium - Journal of International Studies,"Barkawi, Tarak; Laffey, M.",,MM,,2,0,0,0,Article,Background,2002,,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
96,American Political Science Review,"Doyle, Michael W. ",,M,,1,0,0,0,Article,Essential,1986,American Political Science Association,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
97,World Politics,"Schroeder, Paul W. ",,M,,1,0,0,0,Article,Background,1986,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,1,0,0,0,0,FALSE,0,0,1,0,1
98,European Review,"Kustermans, Jorg",,M,,1,0,0,0,Article,Background,2011,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
99,Review of International Studies,"Paris, Roland",,M,,1,0,0,0,Article,Background,2002,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
100,Rules for the world: international organizations in global politics,"Barnett, Michael N.; Finnemore, Martha",,MF,,1,1,0,0,Book,Essential,2004,Cornell University Press,M,Professor,Theory,Undergrad,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
101,"The postwar moment: militaries, masculinities and international peacekeeping, Bosnia and the Netherlands","Cockburn, Cynthia; Zarkov, Dubravka",,FF,,0,2,0,0,Book,Background,2002,Lawrence and Wishart,M,Professor,Theory,Undergrad,1,1,1,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0
102,International Studies Review,"Chan, Steve",,M,,1,0,0,0,Article,Background,2010,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
103,Understanding International Relations,"Brown, Chris; Ainley, Kirsten",,MF,,1,1,0,0,Book,Essential,2009,Palgrave Macmillan,M,Professor,Theory,Undergrad,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
105,'Rethinking the State: Genesis and Structure of the Bureaucratic Field' Pierre Bordieu pp. 53-57 in State/culture: state-formation after the cultural turn,"Steinmetz, George",,M,,1,0,0,0,Book,Background,1999,Cornell University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
106,International Relations,"Ashworth, L. M.",,M,,1,0,0,0,Article,NA,2002,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
107,Does China matter?: a reassessment ; essays in memory of Gerald Segal,"Segal, Gerald; Buzan, Barry; Foot, Rosemary",,MMF,,2,1,0,0,Book,Background,2004,,M,Professor,Theory,Undergrad,0.333,1,1,0,0,0,0,0,0,1,1,0,FALSE,0,1,0,1,0
108,International political economy: an intellectual history,"Cohen, Benjamin J.",,M,,1,0,0,0,Book,Background,2008,Princeton University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
109,The Journal of Interdisciplinary History,"Levy, Jack S. ",,M,,1,0,0,0,Article,Background,1988,The MIT Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
110,Global governance: feminist perspectives,"Bedford, Kate","Rai, Shirin; Waylen, Georgina",F,FF,0,1,0,2,Book,Background,2008,Palgrave Macmillan,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
111,International Organization,"Wendt, Alexander",,M,,1,0,0,0,Article,Background,1992,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
112,American Political Science Review,"Mitchell, Timothy",,M,,1,0,0,0,Article,Background,1991,American Political Science Association,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
113,"Ideas and foreign policy: beliefs, institutions, and political change","Sikkink, Kathryn","Goldstein, Judith; Keohane, Robert O.",F,FM,0,1,1,1,Book,Background,1993,Cornell University Press,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,1,0
114,The British Journal of Sociology,"Rose, Nikolas; Miller, Peter",,MM,,2,0,0,0,Article,Background,1992,Wiley,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
115,Millennium - Journal of International Studies,"Hutchings, Kimberly",,F,,0,1,0,0,Article,Background,2008,,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
116,World out of balance: international relations and the challenge of American primacy,"Brooks, Stephen G.; Wohlforth, William Curti",,MM,,2,0,0,0,Book,Background,2008,Princeton University Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
117,The English school of international relations: a contemporary reassessment,"Linklater, Andrew; Suganami, Hidemi",,MM,,2,0,0,0,Book,Background,2006,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
118,The nature of international society: [reissue of the edition of 1962 with a new preface],"Manning, Charles A. W.",,M,,1,0,0,0,Book,Background,1975,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
119,International Organization,"Nye Jr., Joseph; Keohane, Robert O.",,MM,,2,0,0,0,Article,Background,1971,University of Wisconsin Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
120,International Security," Kang, David",,M,,1,0,0,0,Article,Background,2003,The MIT Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
121,Politics among nations: the struggle for power and peace,"Morgenthau, Hans J.; Thompson, Kenneth W.; Clinton, W. David",,MMM,,3,0,0,0,Book,Background,2006,McGraw-Hill,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
122,International Organization,"Deudney, Daniel H. ",,M,,1,0,0,0,Article,Background,1995,The MIT Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,1,1,0,0,0,0,FALSE,0,0,1,0,1
123,"Humanitarian intervention: ethical, legal, and political dilemmas","Holzgrefe, J. L.; Keohane, Robert O.",,MM,,2,0,0,0,Book,Background,2003,Cambridge University Press,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
124,State of denial,"Woodward, Bob",,M,,1,0,0,0,Book,Background,2006,Simon & Schuster,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
125,Power politics,"Wight, Martin; Bull, Hedley; Holbraad, Carsten",,M,MM,1,0,2,0,Book,Background,1995,Leicester University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
126,Orientalism,"Said, Edward W.",,M,,1,0,0,0,Book,Essential,1995,Penguin,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
